artifact_name,section,stage,path,exists,size_bytes,last_modified
numeric_validation_report.csv,2.3.1,core_numeric,/Users/b/DATA/PROJECTS/Telco/Level_3/resources/reports/section2/numeric/numeric_validation_report.csv,True,459,2025-11-17T17:34:37.090064
range_violation_report.csv,2.3.2,core_numeric,/Users/b/DATA/PROJECTS/Telco/Level_3/resources/reports/section2/numeric/range_violation_report.csv,True,495,2025-11-17T17:41:36.939314
outlier_report_iqr_z.csv,2.3.3,core_numeric,/Users/b/DATA/PROJECTS/Telco/Level_3/resources/reports/section2/numeric/outlier_report_iqr_z.csv,True,714,2025-11-17T17:34:01.987159
numeric_metrics_enhanced.csv,2.3.4,core_numeric,/Users/b/DATA/PROJECTS/Telco/Level_3/resources/reports/section2/numeric/numeric_metrics_enhanced.csv,True,759,2025-11-17T17:43:06.278935
numeric_integrity_report.csv,2.3.5,core_numeric,/Users/b/DATA/PROJECTS/Telco/Level_3/resources/reports/section2/numeric/numeric_integrity_report.csv,True,2442,2025-11-17T17:43:14.280661
numeric_profile_df.csv,2.3.6,core_numeric,/Users/b/DATA/PROJECTS/Telco/Level_3/resources/reports/section2/numeric/numeric_profile_df.csv,True,2703,2025-11-17T18:29:23.045630
time_series_outliers.csv,2.3.7.1,temporal_corr,/Users/b/DATA/PROJECTS/Telco/Level_3/resources/reports/section2/numeric/time_series_outliers.csv,True,1,2025-11-22T15:26:41.180041
global_temporal_anomalies.csv,2.3.7.2,temporal_corr,/Users/b/DATA/PROJECTS/Telco/Level_3/resources/reports/section2/numeric/global_temporal_anomalies.csv,True,70,2025-11-22T15:26:41.350911
correlation_anomalies.csv,2.3.7.3,temporal_corr,/Users/b/DATA/PROJECTS/Telco/Level_3/resources/reports/section2/numeric/correlation_anomalies.csv,True,1,2025-11-22T15:26:41.449683
rule_confidence_scores.csv,2.3.7.4,temporal_corr,/Users/b/DATA/PROJECTS/Telco/Level_3/resources/reports/section2/numeric/rule_confidence_scores.csv,True,618,2025-11-22T15:26:41.535940
model_readiness_report.csv,2.3.8,readiness,/Users/b/DATA/PROJECTS/Telco/Level_3/resources/reports/section2/numeric/model_readiness_report.csv,True,549,2025-11-22T15:26:41.761172
dashboard_alerts.json,2.3.9,readiness,/Users/b/DATA/PROJECTS/Telco/Level_3/resources/reports/section2/numeric/dashboard_alerts.json,True,1311,2025-11-22T15:26:41.847359
numeric_audit_metadata.json,2.3.10,governance,/Users/b/DATA/PROJECTS/Telco/Level_3/resources/reports/section2/numeric/numeric_audit_metadata.json,True,1444,2025-11-22T15:26:42.030949
forecast_sensitivity.csv,2.3.11,readiness,/Users/b/DATA/PROJECTS/Telco/Level_3/resources/reports/section2/numeric/forecast_sensitivity.csv,True,2377,2025-11-22T15:26:42.105474
numeric_bias_risk_report.csv,2.3.12,explainability,/Users/b/DATA/PROJECTS/Telco/Level_3/resources/reports/section2/numeric/numeric_bias_risk_report.csv,True,793,2025-11-22T15:26:42.384841
anomaly_explainability_index.parquet,2.3.13,explainability,/Users/b/DATA/PROJECTS/Telco/Level_3/resources/reports/section2/numeric/anomaly_explainability_index.parquet,True,6166,2025-11-22T15:26:42.459522
data_drift_metrics.csv,2.3.14,drift,/Users/b/DATA/PROJECTS/Telco/Level_3/resources/reports/section2/numeric/data_drift_metrics.csv,True,359,2025-11-22T15:26:42.640742
dashboard_updates.json,2.3.14,drift,/Users/b/DATA/PROJECTS/Telco/Level_3/resources/reports/section2/numeric/dashboard_updates.json,True,2654,2025-11-22T15:26:42.664407
performance_profile.csv,2.3.15,performance,/Users/b/DATA/PROJECTS/Telco/Level_3/resources/reports/section2/numeric/performance_profile.csv,True,2370,2025-11-22T15:26:42.788105
data_contract_violations.json,2.3.16,contracts,/Users/b/DATA/PROJECTS/Telco/Level_3/resources/reports/section2/numeric/data_contract_violations.json,True,220,2025-11-22T15:26:43.061089
data_contract_violations.csv,2.3.16,contracts,/Users/b/DATA/PROJECTS/Telco/Level_3/resources/reports/section2/numeric/data_contract_violations.csv,True,1,2025-11-22T15:26:43.062402
run_health_summary.csv,2.3.17,summary,/Users/b/DATA/PROJECTS/Telco/Level_3/resources/reports/section2/numeric/run_health_summary.csv,True,953,2025-11-22T15:26:43.163847
