column,range_min,range_max,has_range_rule,n_valid,n_below_min,pct_below_min,n_above_max,pct_above_max,n_in_range,pct_in_range,total_violation_pct,range_status,example_below,example_above
MonthlyCharges,0.0,1000.0,True,7043,0,0.0,0,0.0,7043.0,100.0,0.0,ok,,
TotalCharges,0.0,100000.0,True,7032,0,0.0,0,0.0,7032.0,100.0,0.0,ok,,
tenure,0.0,120.0,True,7043,0,0.0,0,0.0,7043.0,100.0,0.0,ok,,
Churn_flag,,,False,7043,0,0.0,0,0.0,,,0.0,no_rule,,
SeniorCitizen,,,False,7043,0,0.0,0,0.0,,,0.0,no_rule,,
