column,mean,std,median,mad,cv,pct_zero,pct_negative,pct_positive,entropy_binned,distribution_shape
MonthlyCharges,64.76169246059918,30.090047097678493,70.35,24.05000000000001,0.46462725037621877,0.0,0.0,100.0,2.1509597968935226,moderate_var
TotalCharges,2283.300440841866,2266.771361883145,1397.475,1222.7999999999997,0.992760883034461,0.0,0.0,100.0,1.908508695811397,moderate_var
tenure,32.37114865824223,24.55948102309446,29.0,22.0,0.7586842617906675,0.156,0.0,99.844,2.1957099456208407,moderate_var
Churn_flag,0.2653698707936959,0.441561305121947,0.0,0.0,1.6639466409705044,73.463,0.0,26.537,0.5785990273334952,zero_inflated
SeniorCitizen,0.1621468124378816,0.3686116056100131,0.0,0.0,2.2733200860869722,83.785,0.0,16.215,0.44321269986098977,zero_inflated
