section,section_name,check,level,status,n_columns_attempted,n_columns_coerced_ok,n_columns_failed,detail,timestamp,n_columns_imputed,n_high_missing_columns,n_columns_treated,n_rows_dropped,n_columns_consolidated,n_values_consolidated,n_columns_with_constraints,n_values_modified,n_rules_repairable,n_rules_applied,n_rows_repaired,n_features_configured,n_features_success,n_features_error,n_categorical_features,n_one_hot,n_ordinal,n_target,n_columns_summarized,avg_delta_pct_missing,avg_delta_pct_outliers,config_hash,schema_hash,n_checks_run,n_checks_ok,n_checks_fail,run_status,integrity_index,revalidation_status,n_rows_exported,n_cols_exported,formats,n_rows_changed,n_cells_changed,mode
2.6.2,Safe type coercion layer,Coerce columns to configured dtypes with logging and error tracking,info,OK,22.0,22.0,0.0,type_coercion_log.csv,2025-11-20 22:04:39.703797+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.2,Safe type coercion layer,Coerce columns to configured dtypes with logging and error tracking,info,OK,22.0,22.0,0.0,type_coercion_log.csv,2025-11-20 22:04:41.262383+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.2,Safe type coercion layer,Coerce columns to configured dtypes with logging and error tracking,info,OK,22.0,22.0,0.0,type_coercion_log.csv,2025-11-20 22:05:00.439136+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.2,Safe type coercion layer,Coerce columns to configured dtypes with logging and error tracking,info,OK,22.0,22.0,0.0,type_coercion_log.csv,2025-11-20 22:06:10.385521+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.2,Safe type coercion layer,Coerce columns to configured dtypes with logging and error tracking,info,OK,21.0,21.0,0.0,type_coercion_log.csv,2025-11-20 22:29:46.533606+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.2,Safe type coercion layer,Coerce columns to configured dtypes with logging and error tracking,info,OK,21.0,21.0,0.0,type_coercion_log.csv,2025-11-20 22:41:43.155733+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.3,Missing value treatment,Apply configured imputation strategies per column type,info,OK,,,,missing_value_imputations.csv,2025-11-20 22:52:07.013854+00:00,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.4,Outlier handling,Apply configured outlier policy (winsorize/cap/drop/flag-only) to numeric columns,info,OK,,,,outlier_treatment_report.csv,2025-11-20 23:07:06.933046+00:00,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.4,Outlier handling,Apply configured outlier policy (winsorize/cap/drop/flag-only) to numeric columns,info,OK,,,,outlier_treatment_report.csv,2025-11-20 23:16:16.698756+00:00,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.5,Range & domain enforcement,Enforce configured numeric ranges and categorical domains,info,OK,,,,domain_enforcement_log.csv,2025-11-20 23:18:21.940172+00:00,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.6,Rare-category consolidation,Group low-frequency categories into configured 'Other' buckets,info,OK,,,,category_consolidation_map.json,2025-11-20 23:28:36.018158+00:00,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.2,Safe type coercion layer,Coerce columns to configured dtypes with logging and error tracking,info,OK,21.0,21.0,0.0,type_coercion_log.csv,2025-11-20 23:30:04.157522+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.2,Safe type coercion layer,Coerce columns to configured dtypes with logging and error tracking,info,OK,24.0,24.0,0.0,type_coercion_log.csv,2025-11-20 23:41:48.185479+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.3,Missing value treatment,Apply configured imputation strategies per column type,info,OK,,,,missing_value_imputations.csv,2025-11-20 23:41:59.674728+00:00,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.4,Outlier handling,Apply configured outlier policy (winsorize/cap/drop/flag-only) to numeric columns,info,OK,,,,outlier_treatment_report.csv,2025-11-20 23:42:02.926173+00:00,,,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.5,Range & domain enforcement,Enforce configured numeric ranges and categorical domains,info,OK,,,,domain_enforcement_log.csv,2025-11-20 23:42:06.968828+00:00,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.6,Rare-category consolidation,Group low-frequency categories into configured 'Other' buckets,info,WARN,,,,category_consolidation_map.json,2025-11-20 23:42:10.659836+00:00,,,,,1.0,7043.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.2,Safe type coercion layer,Coerce columns to configured dtypes with logging and error tracking,info,OK,21.0,21.0,0.0,type_coercion_log.csv,2025-11-20 23:44:11.155638+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.3,Missing value treatment,Apply configured imputation strategies per column type,info,OK,,,,missing_value_imputations.csv,2025-11-20 23:44:16.508283+00:00,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.4,Outlier handling,Apply configured outlier policy (winsorize/cap/drop/flag-only) to numeric columns,info,OK,,,,outlier_treatment_report.csv,2025-11-20 23:44:22.447523+00:00,,,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.5,Range & domain enforcement,Enforce configured numeric ranges and categorical domains,info,OK,,,,domain_enforcement_log.csv,2025-11-20 23:44:24.958916+00:00,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.6,Rare-category consolidation,Group low-frequency categories into configured 'Other' buckets,info,WARN,,,,category_consolidation_map.json,2025-11-20 23:44:26.725559+00:00,,,,,1.0,7043.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.2,Safe type coercion layer,Coerce columns to configured dtypes with logging and error tracking,info,OK,21.0,21.0,0.0,type_coercion_log.csv,2025-11-20 23:57:56.668418+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.2,Safe type coercion layer,Coerce columns to configured dtypes with logging and error tracking,info,OK,21.0,21.0,0.0,type_coercion_log.csv,2025-11-20 23:57:58.481859+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.3,Missing value treatment,Apply configured imputation strategies per column type,info,OK,,,,missing_value_imputations.csv,2025-11-20 23:58:04.056882+00:00,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.4,Outlier handling,Apply configured outlier policy (winsorize/cap/drop/flag-only) to numeric columns,info,OK,,,,outlier_treatment_report.csv,2025-11-20 23:58:07.352778+00:00,,,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.2,Safe type coercion layer,Coerce columns to configured dtypes with logging and error tracking,info,OK,21.0,21.0,0.0,type_coercion_log.csv,2025-11-21 00:32:40.167215+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.3,Missing value treatment,Apply configured imputation strategies per column type,info,OK,,,,missing_value_imputations.csv,2025-11-21 00:32:40.205529+00:00,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.4,Outlier handling,Apply configured outlier policy (winsorize/cap/drop/flag-only) to numeric columns,info,OK,,,,outlier_treatment_report.csv,2025-11-21 00:32:40.262391+00:00,,,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.5,Range & domain enforcement,Enforce configured numeric ranges and categorical domains,info,OK,,,,domain_enforcement_log.csv,2025-11-21 00:32:40.284769+00:00,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.6,Rare-category consolidation,Group low-frequency categories into configured 'Other' buckets,info,WARN,,,,category_consolidation_map.json,2025-11-21 00:32:41.055320+00:00,,,,,1.0,7043.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.2,Safe type coercion layer,Coerce columns to configured dtypes with logging and error tracking,info,OK,21.0,21.0,0.0,type_coercion_log.csv,2025-11-21 00:35:48.476414+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.3,Missing value treatment,Apply configured imputation strategies per column type,info,OK,,,,missing_value_imputations.csv,2025-11-21 00:35:48.534580+00:00,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.4,Outlier handling,Apply configured outlier policy (winsorize/cap/drop/flag-only) to numeric columns,info,OK,,,,outlier_treatment_report.csv,2025-11-21 00:35:48.602698+00:00,,,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.5,Range & domain enforcement,Enforce configured numeric ranges and categorical domains,info,OK,,,,domain_enforcement_log.csv,2025-11-21 00:35:48.626133+00:00,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
