column,dtype,n_unique,non_null,null_pct,value_counts_top5,note
SeniorCitizen,int64,2,7043,0.0,"{""0"": 5901, ""1"": 1142}",original_numeric
SeniorCitizen_flag_text,category,2,7043,0.0,"{""No"": 5901, ""Yes"": 1142}",derived_flag
Senior_flag,boolean,2,7043,0.0,"{""False"": 5901, ""True"": 1142}",derived_flag
