rule_id,n_anomalies,n_rows_touched,n_warn,n_fail,max_severity_rank,mean_magnitude,last_seen_at,max_severity,anomaly_rate_per_row,stability_score
mutual_exclusion_violation,2,2,2,0,1,,2025-11-22 23:26:56.803905+00:00,warn,1.0,0.5
ratio_check_violation,1,1,0,1,2,,2025-11-22 23:26:56.806112+00:00,fail,1.0,0.5
