feature_name,expr,status,n_non_null,n_changed,notes
tenure_months_bucket,"pd.cut(tenure, bins=[0,12,24,36,60,999], labels=['0-12','12-24','24-36','36-60','60+'])",ok,7043,7043,
total_charges_per_month,TotalCharges / (tenure.replace({0: np.nan})),ok,7043,7043,
avg_streaming_spend,"(StreamingMoviesCharges + StreamingTVCharges) / max(1, StreamingServicesCount)",error,0,0,Error evaluating expr: name 'StreamingMoviesCharges' is not defined
