column,q1,q3,iqr,lower,upper,n_outliers
tenure,9.0,55.0,46.0,-60.0,124.0,0
MonthlyCharges,35.5,89.85,54.349999999999994,-46.02499999999999,171.375,0
TotalCharges,401.45,3794.7375,3393.2875000000004,-4688.481250000001,8884.66875,0
