rule_id,total_col,component_cols,tolerance_abs,tolerance_rel,n_rows,n_over_tolerance,pct_over_tolerance,mean_diff,median_diff,max_abs_diff,rule_severity,notes
total_vs_expected_from_tenure_monthly,TotalCharges,expected_total_from_tenure_monthly,50.0,0.2,7032,8,0.0011376564277588168,-0.15319254835039559,0.0,373.2500000000009,warn,
zero_tenure_zero_total,TotalCharges,expected_total_for_zero_tenure,5.0,0.25,0,0,,,,,info,No valid rows to evaluate reconciliation
contract_bounded_total,TotalCharges,expected_min_total_from_contract,50.0,0.2,7032,6658,0.9468145620022753,-2255.0912755972695,-1379.75,8567.0,fail,
senior_citizen_pricing_consistency,TotalCharges,expected_total_senior,75.0,0.25,1142,0,0.0,0.6735113835376424,0.0,355.35000000000036,ok,
payment_method_consistency,TotalCharges,expected_total_from_payment_profile,40.0,0.15,7032,40,0.005688282138794084,-0.15319254835039559,0.0,373.2500000000009,warn,
