run_id,data_readiness_index,missingness_score,outlier_score,domain_score,logic_repair_score,revalidation_score,integrity_index_base,timestamp_utc
sec2_apply_20251212T045010Z,79.88200303399418,79.05602427195349,60.0,75.0,100.0,40.0,90.0,2025-12-12 04:50:16.273387+00:00
sec2_apply_20251212T045423Z,79.92175881988088,79.37407055904706,60.0,75.0,100.0,40.0,90.0,2025-12-12 04:54:27.954233+00:00
sec2_apply_20251212T045905Z,79.92175881988088,79.37407055904706,60.0,75.0,100.0,40.0,90.0,2025-12-12 04:59:08.614611+00:00
sec2_apply_20251212T050828Z,79.92175881988088,79.37407055904706,60.0,75.0,100.0,40.0,90.0,2025-12-12 05:08:32.586496+00:00
sec2_apply_20251212T052101Z,79.88200303399418,79.05602427195349,60.0,75.0,100.0,40.0,90.0,2025-12-12 05:21:04.551844+00:00
sec2_apply_20251212T053552Z,79.92175881988088,79.37407055904706,60.0,75.0,100.0,40.0,90.0,2025-12-12 05:35:55.531884+00:00
sec2_apply_20251212T060043Z,79.88200303399418,79.05602427195349,60.0,75.0,100.0,40.0,90.0,2025-12-12 06:00:47.265540+00:00
sec2_apply_20251212T183311Z,79.92175881988088,79.37407055904706,60.0,75.0,100.0,40.0,90.0,2025-12-12 18:33:21.301779+00:00
sec2_apply_20251212T193238Z,79.88200303399418,79.05602427195349,60.0,75.0,100.0,40.0,90.0,2025-12-12 19:32:41.140668+00:00
sec2_apply_20251212T205328Z,79.88200303399418,79.05602427195349,60.0,75.0,100.0,40.0,90.0,2025-12-12 20:53:31.311918+00:00
sec2_apply_20251212T211820Z,79.92175881988088,79.37407055904706,60.0,75.0,100.0,40.0,90.0,2025-12-12 21:18:24.335999+00:00
sec2_apply_20251212T220159Z,79.88200303399418,79.05602427195349,60.0,75.0,100.0,40.0,90.0,2025-12-12 22:02:02.477445+00:00
sec2_apply_20251213T010449Z,79.88200303399418,79.05602427195349,60.0,75.0,100.0,40.0,90.0,2025-12-13 01:04:52.370370+00:00
sec2_apply_20251213T011324Z,79.92175881988088,79.37407055904706,60.0,75.0,100.0,40.0,90.0,2025-12-13 01:13:28.317793+00:00
sec2_apply_20251213T014128Z,79.92175881988088,79.37407055904706,60.0,75.0,100.0,40.0,90.0,2025-12-13 01:41:31.124826+00:00
