feature,cluster_id,cluster_size,intra_cluster_mean_corr
SeniorCitizen,1,1,0.0
tenure,2,1,0.0
MonthlyCharges,3,1,0.0
TotalCharges,4,1,0.0
Churn_flag,5,1,0.0
expected_total_from_tenure_monthly,6,1,0.0
expected_total_for_zero_tenure,7,1,0.0
expected_min_total_from_contract,8,1,0.0
expected_total_senior,9,1,0.0
expected_total_from_payment_profile,10,1,0.0
total_charges_per_month,11,1,0.0
