feature,delta_label,delta_value,estimated_effect,base_mean,std_dev,notes
Churn_flag,-2σ,-0.8830599129586463,-2.0,0.2653698707936959,0.44152995647932314,corr≈1.0; delta=-2σ
Churn_flag,-1σ,-0.44152995647932314,-1.0,0.2653698707936959,0.44152995647932314,corr≈1.0; delta=-1σ
Churn_flag,+1σ,0.44152995647932314,1.0,0.2653698707936959,0.44152995647932314,corr≈1.0; delta=+1σ
Churn_flag,+2σ,0.8830599129586463,2.0,0.2653698707936959,0.44152995647932314,corr≈1.0; delta=+2σ
MonthlyCharges,-2σ,-60.17582170987395,-0.3867128444756939,64.76169246059918,30.087910854936975,corr≈0.193; delta=-2σ
MonthlyCharges,-1σ,-30.087910854936975,-0.19335642223784694,64.76169246059918,30.087910854936975,corr≈0.193; delta=-1σ
MonthlyCharges,+1σ,30.087910854936975,0.19335642223784694,64.76169246059918,30.087910854936975,corr≈0.193; delta=+1σ
MonthlyCharges,+2σ,60.17582170987395,0.3867128444756939,64.76169246059918,30.087910854936975,corr≈0.193; delta=+2σ
SeniorCitizen,-2σ,-0.7371708720618743,-0.3017786563529465,0.1621468124378816,0.36858543603093713,corr≈0.151; delta=-2σ
SeniorCitizen,-1σ,-0.36858543603093713,-0.15088932817647324,0.1621468124378816,0.36858543603093713,corr≈0.151; delta=-1σ
SeniorCitizen,+1σ,0.36858543603093713,0.15088932817647324,0.1621468124378816,0.36858543603093713,corr≈0.151; delta=+1σ
SeniorCitizen,+2σ,0.7371708720618743,0.3017786563529465,0.1621468124378816,0.36858543603093713,corr≈0.151; delta=+2σ
TotalCharges,-2σ,-4533.22036142907,0.3989681671351284,2283.3004408418656,2266.610180714535,corr≈-0.199; delta=-2σ
TotalCharges,-1σ,-2266.610180714535,0.1994840835675642,2283.3004408418656,2266.610180714535,corr≈-0.199; delta=-1σ
TotalCharges,+1σ,2266.610180714535,-0.1994840835675642,2283.3004408418656,2266.610180714535,corr≈-0.199; delta=+1σ
TotalCharges,+2σ,4533.22036142907,-0.3989681671351284,2283.3004408418656,2266.610180714535,corr≈-0.199; delta=+2σ
tenure,-2σ,-49.11547484572688,0.704457340226156,32.37114865824223,24.55773742286344,corr≈-0.352; delta=-2σ
tenure,-1σ,-24.55773742286344,0.352228670113078,32.37114865824223,24.55773742286344,corr≈-0.352; delta=-1σ
tenure,+1σ,24.55773742286344,-0.352228670113078,32.37114865824223,24.55773742286344,corr≈-0.352; delta=+1σ
tenure,+2σ,49.11547484572688,-0.704457340226156,32.37114865824223,24.55773742286344,corr≈-0.352; delta=+2σ
