column,mean,std,min,max,q1,q3,iqr,lower_iqr_bound,upper_iqr_bound,n_outliers_iqr,pct_outliers_iqr,n_outliers_z,pct_outliers_z,outlier_severity
SeniorCitizen,0.1621468124378816,0.3686116056100131,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1142,16.215,0,0.0,high
Churn_flag,0.2653698707936959,0.441561305121947,0.0,1.0,0.0,1.0,1.0,-1.5,2.5,0,0.0,0,0.0,low
MonthlyCharges,64.76169246059918,30.090047097678493,18.25,118.75,35.5,89.85,54.349999999999994,-46.02499999999999,171.375,0,0.0,0,0.0,low
TotalCharges,2283.300440841866,2266.771361883145,18.8,8684.8,401.45,3794.7375,3393.2875000000004,-4688.481250000001,8884.66875,0,0.0,0,0.0,low
tenure,32.37114865824223,24.55948102309446,0.0,72.0,9.0,55.0,46.0,-60.0,124.0,0,0.0,0,0.0,low
