check,dataset_version_id,detail,git_hash,level,n_cols,n_missing,n_required,n_rows,section,section_name,status,timestamp,total_mem_mb
Environment & config readiness preflight,,"Section 2 bootstrap complete: globals, directories, CONFIG roots, and working df are all ready.",,info,21.0,,,7043.0,2.0.1,Environment & config readiness preflight,OK,2025-11-23 11:43:54.233288,
Config & constants validation for Section 2,,All required config roots present and Section 2 constants registered.,,info,,0.0,4.0,,2.0.2,Config & constants validation,OK,2025-11-23 11:44:02.172866,
Section 2 run metadata snapshot,1.0,Metadata saved to section2_run_metadata.json,b85c497405528444bb1faeba930194bd682f128d,info,,,,,2.0.3,Logging & metadata setup,OK,2025-11-23 11:44:21.720604,
Dataset-level shape & memory snapshot,,Snapshot of df at Section 2 start; overview written to section2_2_0_4_dataset_overview.csv,,info,21.0,,,7043.0,2.0.4,Dataset snapshot & preview,OK,2025-11-23 11:44:29.504980,6.5061
