column,nulls,empty_strings,whitespace_only,total_issues,pct_missing,pct_blank,section,rule,run_ts
TotalCharges,11,0,0,11,0.1561834445548772,0.0,2.1_missing_null_blank,missing_null_blank,2025-10-25T15:48:52
gender,0,0,0,0,0.0,0.0,2.1_missing_null_blank,missing_null_blank,2025-10-25T15:48:52
SeniorCitizen,0,0,0,0,0.0,0.0,2.1_missing_null_blank,missing_null_blank,2025-10-25T15:48:52
Partner,0,0,0,0,0.0,0.0,2.1_missing_null_blank,missing_null_blank,2025-10-25T15:48:52
customerID,0,0,0,0,0.0,0.0,2.1_missing_null_blank,missing_null_blank,2025-10-25T15:48:52
Dependents,0,0,0,0,0.0,0.0,2.1_missing_null_blank,missing_null_blank,2025-10-25T15:48:52
tenure,0,0,0,0,0.0,0.0,2.1_missing_null_blank,missing_null_blank,2025-10-25T15:48:52
MultipleLines,0,0,0,0,0.0,0.0,2.1_missing_null_blank,missing_null_blank,2025-10-25T15:48:52
PhoneService,0,0,0,0,0.0,0.0,2.1_missing_null_blank,missing_null_blank,2025-10-25T15:48:52
OnlineSecurity,0,0,0,0,0.0,0.0,2.1_missing_null_blank,missing_null_blank,2025-10-25T15:48:52
OnlineBackup,0,0,0,0,0.0,0.0,2.1_missing_null_blank,missing_null_blank,2025-10-25T15:48:52
DeviceProtection,0,0,0,0,0.0,0.0,2.1_missing_null_blank,missing_null_blank,2025-10-25T15:48:52
InternetService,0,0,0,0,0.0,0.0,2.1_missing_null_blank,missing_null_blank,2025-10-25T15:48:52
TechSupport,0,0,0,0,0.0,0.0,2.1_missing_null_blank,missing_null_blank,2025-10-25T15:48:52
StreamingTV,0,0,0,0,0.0,0.0,2.1_missing_null_blank,missing_null_blank,2025-10-25T15:48:52
Contract,0,0,0,0,0.0,0.0,2.1_missing_null_blank,missing_null_blank,2025-10-25T15:48:52
StreamingMovies,0,0,0,0,0.0,0.0,2.1_missing_null_blank,missing_null_blank,2025-10-25T15:48:52
PaperlessBilling,0,0,0,0,0.0,0.0,2.1_missing_null_blank,missing_null_blank,2025-10-25T15:48:52
PaymentMethod,0,0,0,0,0.0,0.0,2.1_missing_null_blank,missing_null_blank,2025-10-25T15:48:52
MonthlyCharges,0,0,0,0,0.0,0.0,2.1_missing_null_blank,missing_null_blank,2025-10-25T15:48:52
Churn,0,0,0,0,0.0,0.0,2.1_missing_null_blank,missing_null_blank,2025-10-25T15:48:52
