n_rows,n_cols,column,dtype,type_group,non_null,nulls,null_pct,n_unique
7043,21,MonthlyCharges,float64,numeric,7043,0,0.0,1585
7043,21,TotalCharges,float64,numeric,7032,11,0.156,6530
7043,21,SeniorCitizen,int64,numeric,7043,0,0.0,2
7043,21,tenure,int64,numeric,7043,0,0.0,73
7043,21,Churn,object,string_like,7043,0,0.0,2
7043,21,Contract,object,string_like,7043,0,0.0,3
7043,21,Dependents,object,string_like,7043,0,0.0,2
7043,21,DeviceProtection,object,string_like,7043,0,0.0,3
7043,21,InternetService,object,string_like,7043,0,0.0,3
7043,21,MultipleLines,object,string_like,7043,0,0.0,3
7043,21,OnlineBackup,object,string_like,7043,0,0.0,3
7043,21,OnlineSecurity,object,string_like,7043,0,0.0,3
7043,21,PaperlessBilling,object,string_like,7043,0,0.0,2
7043,21,Partner,object,string_like,7043,0,0.0,2
7043,21,PaymentMethod,object,string_like,7043,0,0.0,4
7043,21,PhoneService,object,string_like,7043,0,0.0,2
7043,21,StreamingMovies,object,string_like,7043,0,0.0,3
7043,21,StreamingTV,object,string_like,7043,0,0.0,3
7043,21,TechSupport,object,string_like,7043,0,0.0,3
7043,21,customerID,object,string_like,7043,0,0.0,7043
7043,21,gender,object,string_like,7043,0,0.0,2
